date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2025-01-22,343.938232421875,347.0,352.70001220703125,342.3500061035156,352.6000061035156,1498207
2025-01-23,348.0516052246094,351.1499938964844,353.79998779296875,341.5,344.8500061035156,2473272
2025-01-24,336.7026672363281,339.70001220703125,356.29998779296875,338.3500061035156,350.0,1292811
2025-01-27,335.16632080078125,338.1499938964844,338.75,332.54998779296875,332.54998779296875,1027798
2025-01-28,339.8248596191406,342.8500061035156,344.3500061035156,331.20001220703125,336.75,1292617
2025-01-29,341.6585388183594,344.70001220703125,350.54998779296875,343.1499938964844,345.45001220703125,1380280
2025-01-30,339.7752990722656,342.79998779296875,346.3500061035156,339.75,344.70001220703125,2370446
2025-01-31,340.3699951171875,343.3999938964844,348.95001220703125,340.20001220703125,342.70001220703125,1761292
2025-02-01,366.73529052734375,370.0,373.0,338.8500061035156,343.54998779296875,2292009
2025-02-03,365.5458679199219,368.79998779296875,372.75,360.1000061035156,365.29998779296875,2251906
2025-02-04,358.211181640625,361.3999938964844,371.5,358.04998779296875,368.6000061035156,1968074
2025-02-05,363.71221923828125,366.95001220703125,368.20001220703125,359.45001220703125,362.0,3161288
2025-02-06,359.45013427734375,362.6499938964844,368.25,361.04998779296875,367.0,2066393
2025-02-07,362.6219177246094,365.8500061035156,366.8500061035156,361.6000061035156,362.95001220703125,802225
2025-02-10,345.82147216796875,348.8999938964844,367.5,347.6000061035156,367.5,2588396
2025-02-11,340.0726623535156,343.1000061035156,352.6000061035156,340.75,345.0,3469655
2025-02-12,337.0,340.0,342.6000061035156,331.54998779296875,339.1000061035156,2316739
2025-02-13,339.23016357421875,342.25,349.8500061035156,334.3500061035156,342.0,5953915
2025-02-14,327.98028564453125,330.8999938964844,341.79998779296875,325.8500061035156,341.04998779296875,1895948
2025-02-17,329.6653137207031,332.6000061035156,335.0,324.6000061035156,332.0,1974678
2025-02-18,328.32720947265625,331.25,333.54998779296875,327.0,330.1000061035156,1780819
2025-02-19,326.9891052246094,329.8999938964844,333.45001220703125,323.45001220703125,326.0,5713908
2025-02-20,332.49017333984375,335.45001220703125,336.6000061035156,323.1499938964844,328.54998779296875,4589175
2025-02-21,330.0122375488281,332.95001220703125,339.5,326.6499938964844,336.6499938964844,4204269
2025-02-24,327.6829528808594,330.6000061035156,333.04998779296875,326.20001220703125,331.70001220703125,2178771
2025-02-25,328.57501220703125,331.5,333.79998779296875,325.6000061035156,330.0,2055461
2025-02-27,322.7270812988281,325.6000061035156,334.25,322.3999938964844,332.95001220703125,2316594
2025-02-28,318.3163146972656,321.1499938964844,330.0,319.3500061035156,328.0,5491296
2025-03-03,324.95721435546875,327.8500061035156,328.75,316.1499938964844,321.1499938964844,2168411
2025-03-04,324.26336669921875,327.1499938964844,330.3500061035156,319.75,324.0,5613607
2025-03-05,341.5594177246094,344.6000061035156,347.29998779296875,326.29998779296875,327.8999938964844,3040713
2025-03-06,340.1221923828125,343.1499938964844,345.8500061035156,339.3999938964844,344.8999938964844,4908083
2025-03-07,341.4107666015625,344.45001220703125,350.54998779296875,341.29998779296875,343.0,2524809
2025-03-10,341.9559020996094,345.0,349.25,339.6499938964844,344.1000061035156,2240893
2025-03-11,342.9470520019531,346.0,348.0,337.29998779296875,339.95001220703125,1740068
2025-03-12,354.4942626953125,357.6499938964844,359.3999938964844,347.95001220703125,349.6499938964844,3496657
2025-03-13,341.2124938964844,344.25,359.3999938964844,342.54998779296875,359.0,2415616
2025-03-17,349.7861633300781,352.8999938964844,354.29998779296875,345.95001220703125,347.0,3704090
2025-03-18,349.7861633300781,352.8999938964844,352.8999938964844,352.8999938964844,352.8999938964844,0
2025-03-19,357.2695617675781,360.45001220703125,364.29998779296875,354.04998779296875,358.54998779296875,3063001
2025-03-20,354.3455810546875,357.5,362.5,356.3500061035156,360.8999938964844,1409489
2025-03-21,359.6484069824219,362.8500061035156,366.25,356.0,357.5,1134168
2025-03-24,359.004150390625,362.20001220703125,364.95001220703125,356.95001220703125,363.0,953758
2025-03-25,355.6341247558594,358.79998779296875,364.0,356.29998779296875,363.45001220703125,981855
2025-03-26,356.92266845703125,360.1000061035156,367.5,354.54998779296875,358.0,1492943
2025-03-27,351.619873046875,354.75,360.25,350.0,359.79998779296875,2630637
2025-03-28,350.8269348144531,353.95001220703125,357.75,351.25,356.95001220703125,1694266
2025-04-01,342.55059814453125,345.6000061035156,359.45001220703125,344.25,356.8999938964844,892954
