date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2025-03-07,30345.66015625,30768.30078125,31597.80078125,30630.650390625,30990.0,12123
2025-03-10,30208.86328125,30629.599609375,31099.94921875,30125.0,30768.30078125,11926
2025-03-11,30077.591796875,30496.5,31103.80078125,30394.30078125,30620.099609375,9378
2025-03-12,29386.56640625,29795.849609375,30679.94921875,29555.55078125,30520.0,11266
2025-03-13,29190.44921875,29597.0,30112.80078125,29556.55078125,29800.0,5268
2025-03-17,29761.7421875,30176.25,30295.0,29566.55078125,29699.900390625,5725
2025-03-18,29761.7421875,30176.25,30176.25,30176.25,30176.25,0
2025-03-19,29932.01953125,30348.900390625,30541.349609375,29712.099609375,30000.0,12242
2025-03-20,29764.798828125,30179.349609375,30739.849609375,30050.0,30348.900390625,7787
2025-03-21,29876.0,30292.099609375,30499.0,30046.55078125,30290.0,7752
2025-03-24,30645.484375,31072.30078125,31183.75,30250.0,30300.05078125,9503
2025-03-25,30674.626953125,31101.849609375,31370.0,30720.0,31075.0,7172
2025-03-26,30171.287109375,30591.5,31250.0,30500.0,31100.0,8589
2025-03-27,30149.244140625,30569.150390625,30810.0,30200.400390625,30300.150390625,10564
2025-03-28,30298.56640625,30720.55078125,30800.0,30420.099609375,30570.0,5774
2025-04-01,29901.544921875,30318.0,31107.55078125,30240.94921875,30720.55078125,6596
2025-04-02,29135.119140625,29540.900390625,30318.0,29401.0,30305.19921875,8629
2025-04-03,29498.458984375,29909.30078125,30398.0,29740.0,29800.0,10987
2025-04-04,28677.986328125,29077.400390625,30090.55078125,28829.150390625,29909.30078125,9166
2025-04-07,28567.818359375,28965.69921875,29400.05078125,27500.05078125,27501.0,14086
2025-04-08,28995.1171875,29398.94921875,29554.849609375,28900.099609375,29498.900390625,6460
2025-04-09,28708.21484375,29108.05078125,29600.05078125,28975.55078125,29009.599609375,5194
2025-04-11,29233.94140625,29641.099609375,29750.0,29311.900390625,29499.0,5580
2025-04-15,30524.86328125,30950.0,31195.0,29580.0,29645.0,11843
2025-04-16,30288.16015625,30710.0,31390.0,30435.0,30950.0,9589
2025-04-17,30268.43359375,30690.0,30975.0,30580.0,30755.0,4806
2025-04-21,30490.34375,30915.0,31220.0,30600.0,31000.0,7917
2025-04-22,30588.970703125,31015.0,31140.0,30640.0,30915.0,4188
2025-04-23,30051.45703125,30470.0,31400.0,30370.0,31150.0,7426
2025-04-24,29647.087890625,30060.0,30680.0,30010.0,30680.0,6809
2025-04-25,29296.96484375,29705.0,30295.0,29430.0,30060.0,5704
2025-04-28,29370.93359375,29780.0,29945.0,29450.0,29450.0,4970
2025-04-29,29686.5390625,30100.0,30145.0,29565.0,29810.0,5450
2025-04-30,29573.119140625,29985.0,30100.0,29700.0,30000.0,3754
2025-05-02,30085.9765625,30505.0,30590.0,29755.0,29990.0,4955
2025-05-05,30302.953125,30725.0,30985.0,30455.0,30725.0,8416
2025-05-06,29745.71484375,30160.0,30695.0,30015.0,30695.0,10889
2025-05-07,29928.173828125,30345.0,30585.0,29630.0,30105.0,10766
2025-05-08,29592.84375,30005.0,30525.0,29855.0,30050.0,12370
2025-05-09,29750.646484375,30165.0,30300.0,29555.0,29800.0,3367
2025-05-12,29652.01953125,30065.0,30595.0,30010.0,30300.0,5054
2025-05-13,29972.5546875,30390.0,30500.0,30000.0,30000.0,6003
2025-05-14,29908.44921875,30325.0,30645.0,30250.0,30390.0,4970
2025-05-15,29913.37890625,30330.0,30555.0,30225.0,30495.0,6204
