date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2025-02-14,8551.9599609375,8962.9501953125,9122.2001953125,8810.0,9100.0,73852
2025-02-17,8393.7626953125,8797.150390625,8962.0,8674.150390625,8910.0,116078
2025-02-18,8355.1669921875,8756.7001953125,8888.0,8626.849609375,8800.0,126590
2025-02-19,8390.1845703125,8793.400390625,8923.849609375,8700.0,8726.0498046875,53084
2025-02-20,8281.79296875,8679.7998046875,8834.849609375,8625.0,8779.0,117119
2025-02-21,8019.5947265625,8405.0,8724.400390625,8282.0,8686.0,185897
2025-02-24,7951.13427734375,8333.25,8379.0,8190.0,8348.5498046875,101181
2025-02-25,7832.48681640625,8208.900390625,8356.150390625,8181.0,8325.0,80633
2025-02-27,7711.64404296875,8082.25,8258.0,8025.5,8210.0498046875,110023
2025-02-28,7407.89111328125,7763.89990234375,8002.5,7545.0,8000.0,240082
2025-03-03,7477.44873046875,7836.7998046875,7887.0,7558.0498046875,7801.75,146378
2025-03-04,7284.37744140625,7634.4501953125,7920.0498046875,7620.5,7790.0,138586
2025-03-05,7557.263671875,7920.4501953125,8000.0,7635.75,7635.75,199318
2025-03-06,7466.09423828125,7824.89990234375,8080.0,7778.0,8050.0,156271
2025-03-07,7222.02392578125,7569.10009765625,7769.9501953125,7527.0,7752.0,307003
2025-03-10,7049.51416015625,7388.2998046875,7606.60009765625,7360.0,7566.75,186586
2025-03-11,7187.19775390625,7532.60009765625,7564.0,7201.39990234375,7235.0,190559
2025-03-12,6961.6376953125,7296.2001953125,7542.4501953125,7131.89990234375,7528.0,230330
2025-03-13,6991.9794921875,7328.0,7464.0498046875,7281.39990234375,7370.0,145595
2025-03-17,7138.6318359375,7481.7001953125,7490.0,7340.5,7343.0,219002
2025-03-18,7138.6318359375,7481.7001953125,7481.7001953125,7481.7001953125,7481.7001953125,0
2025-03-19,7322.92529296875,7674.85009765625,7694.0,7377.75,7599.9501953125,151859
2025-03-20,7231.27880859375,7578.7998046875,7838.0,7531.64990234375,7793.5,326426
2025-03-21,7293.87109375,7644.39990234375,7705.7998046875,7451.0,7500.0,228080
2025-03-24,7596.0966796875,7961.14990234375,8048.0,7610.0,7770.0,234142
